TimeGenerated [UTC],Company_name_s,beta_b,Category,category_order_d,display_url_s,grade_s,grade_color_s,name_s,order_d,percentile_d,rating_d,percentile_s,rating_s
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Compromised Systems,0,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/compromised-systems/?filter=Botnet%20Infections,A,#2c4d7f,Botnet Infections,0,100,820,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Compromised Systems,0,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/compromised-systems/?filter=Spam%20Propagation,A,#2c4d7f,Spam Propagation,1,100,820,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Compromised Systems,0,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/compromised-systems/?filter=Malware%20Servers,A,#2c4d7f,Malware Servers,2,100,820,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Compromised Systems,0,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/compromised-systems/?filter=Unsolicited%20Communications,A,#2c4d7f,Unsolicited Communications,3,100,820,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Compromised Systems,0,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/compromised-systems/?filter=Potentially%20Exploited,F,#b24053,Potentially Exploited,4,10,540,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=spf,C,#ecb870,SPF,5,64,730,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=dkim,C,#ecb870,DKIM,6,40,660,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=certificate,C,#ecb870,SSL Certificates,7,44,670,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=ssl,C,#ecb870,SSL Configurations,8,52,690,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=open_port,B,#526d96,Open Ports,9,72,750,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=http_headers,C,#ecb870,Web Application Headers,10,40,660,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=pc,A,#2c4d7f,Patching Cadence,11,100,820,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=insecure_sys,A,#2c4d7f,Insecure Systems,12,100,820,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=server_software,A,#2c4d7f,Server Software,13,94,800,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=endpoint_pc,N/A,#495057,Desktop Software,14,,,N/A,N/A
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=endpoint_mobile,N/A,#495057,Mobile Software,15,,,N/A,N/A
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,TRUE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=dnssec,C,#ecb870,DNSSEC,16,53,700,,
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,TRUE,Diligence,1,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/diligence-details/?filter=mobile_appsec,N/A,#495057,Mobile Application Security,17,,,N/A,N/A
"2/18/2023, 12:00:09.295 AM",Goliath Investments LLC,FALSE,User Behavior,2,https://service.bitsighttech.com/app/company/1263b9c6-af38-4497-84ee-e15efdb065e9/user-behavior,A,#2c4d7f,File Sharing,18,100,820,,