RecommendationDisplayName,Capability,Family
Azure Defender for SQL servers on machines should be enabled,Situational Awareness,Universal Security Capabilities
Azure Defender for SQL should be enabled for unprotected SQL Managed Instances,Situational Awareness,Universal Security Capabilities
Azure Defender for Storage should be enabled,Situational Awareness,Universal Security Capabilities
Configure Advanced Threat Protection to be enabled on open-source relational databases,Dynamic Threat Discovery,Universal Security Capabilities
Deploy Advanced Threat Protection on storage accounts,Dynamic Threat Discovery,Universal Security Capabilities
Configure Advanced Threat Protection to be enabled on Azure database for MySQL servers,Dynamic Threat Discovery,Universal Security Capabilities
Configure Advanced Threat Protection to be enabled on Azure database for MariaDB servers,Dynamic Threat Discovery,Universal Security Capabilities
Deploy Advanced Threat Protection for Cosmos DB Accounts,Dynamic Threat Discovery,Universal Security Capabilities
Configure Advanced Threat Protection to be enabled on Azure database for PostgreSQL servers,Dynamic Threat Discovery,Universal Security Capabilities
Adaptive network hardening recommendations should be applied on internet facing virtual machines,Dynamic Threat Discovery,Universal Security Capabilities
Allowlist rules in your adaptive application control policy should be updated,Policy Enforcement Parity,Universal Security Capabilities
Enforce SSL connection should be enabled for MySQL database servers,Policy Enforcement Parity,Universal Security Capabilities
Enforce SSL connection should be enabled for PostgreSQL database servers,Policy Enforcement Parity,Universal Security Capabilities
FTPS only should be required in your API App,Policy Enforcement Parity,Universal Security Capabilities
FTPS only should be required in your Function App,Policy Enforcement Parity,Universal Security Capabilities
FTPS should be required in your Web App,Policy Enforcement Parity,Universal Security Capabilities
Audit usage of custom RBAC rules,Policy Enforcement Parity,Universal Security Capabilities
Shared dashboards should not have markdown tiles with inline content,Effective Use of Shared Services,Universal Security Capabilities
Storage accounts should prevent shared key access,Effective Use of Shared Services,Universal Security Capabilities
All authorization rules except RootManageSharedAccessKey should be removed from Service Bus namespace,Effective Use of Shared Services,Universal Security Capabilities
All authorization rules except RootManageSharedAccessKey should be removed from Event Hub namespace,Effective Use of Shared Services,Universal Security Capabilities
Kubernetes cluster containers should not share host process ID or host IPC namespace,Effective Use of Shared Services,Universal Security Capabilities
Guest Configuration extension should be installed on your machines,Effective Use of Shared Services,Universal Security Capabilities
Guest Attestation extension should be installed on supported Linux virtual machines,Effective Use of Shared Services,Universal Security Capabilities
Guest Attestation extension should be installed on supported Linux virtual machines scale sets,Effective Use of Shared Services,Universal Security Capabilities
Guest Attestation extension should be installed on supported Windows virtual machines,Effective Use of Shared Services,Universal Security Capabilities
Guest Attestation extension should be installed on supported Windows virtual machines scale sets,Effective Use of Shared Services,Universal Security Capabilities
Windows Defender Exploit Guard should be enabled on your machines,Effective Use of Shared Services,Universal Security Capabilities
Audit usage of custom RBAC rules,Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
MFA should be enabled accounts with write permissions on your subscription,Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
MFA should be enabled on accounts with owner permissions on your subscription,Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
MFA should be enabled on accounts with read permissions on your subscription,Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
IoT Hub device provisioning service data should be encrypted using customer-managed keys (CMK),Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
Configure IoT Hub device provisioning service instances to disable public network access,Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
Configure IoT Hub device provisioning service instances with private endpoints,Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
Configure IoT Hub device provisioning instances to use private DNS zones,Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
IoT Hub device provisioning service instances should disable public network access,Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
IoT Hub device provisioning service instances should use private link,Integrated Desktop Mobile & Remote Policies,Universal Security Capabilities
Endpoint protection health issues should be resolved on your machines,Anti Malware,Files
Endpoint protection should be installed on your machines,Anti Malware,Files
Endpoint protection solution should be installed on virtual machine scale sets,Anti Malware,Files
Monitor missing Endpoint Protection in Azure Security Center,Anti Malware,Files
Azure Defender for servers should be enabled,Anti Malware,Files
Windows Defender Exploit Guard should be enabled on your machines,Content Disarm & Reconstruction,Files 
Deploy default Microsoft IaaSAntimalware extension for Windows Server,Detonation Chamber,Files 
Microsoft IaaSAntimalware extension should be deployed on Windows servers,Detonation Chamber,Files 
Microsoft Antimalware for Azure should be configured to automatically update protection signatures,Detonation Chamber,Files 
Email notification for high severity alerts should be enabled,Anti Phishing,Email
Email notification to subscription owner for high severity alerts should be enabled,Anti Phishing,Email
Subscriptions should have a contact email address for security issues,Anti Phishing,Email
Adaptive network hardening recommendations should be applied on internet facing virtual machines,Break and Inspect,Web
All Internet traffic should be routed via your deployed Azure Firewall,Break and Inspect,Web
All network ports should be restricted on network security groups associated to your virtual machine,Break and Inspect,Web
Web Application Firewall (WAF) should be enabled for Application Gateway,Active Content Mitigation,Web
Web Application Firewall (WAF) should be enabled for Azure Front Door Service service,Active Content Mitigation,Web
Web Application Firewall (WAF) should be enabled for Application Gateway,Content Filtering,Web
Web Application Firewall (WAF) should be enabled for Azure Front Door Service service,Content Filtering,Web
Audit Windows machines that contain certificates expiring within the specified number of days,Certificate Blacklisting,Web
Service principals should be used to protect your subscriptions instead of management certificates,Certificate Blacklisting,Web
Audit Windows machines that do not contain the specified certificates in Trusted Root,Certificate Blacklisting,Web
Certificates using elliptic curve cryptography should have allowed curve names,Certificate Blacklisting,Web
Certificates using RSA cryptography should have the specified minimum key size,Certificate Blacklisting,Web
Certificates should not expire within the specified number of days,Certificate Blacklisting,Web
Web Application Firewall (WAF) should be enabled for Azure Front Door Service service,Authenticated Proxy,Web
Web Application Firewall (WAF) should use the specified mode for Azure Front Door Service,Authenticated Proxy,Web
CORS should not allow every resource to access your Web Applications,Access Control,Web
Configure Azure Web PubSub Service to disable public network access,Access Control,Web
Web Application should only be accessible over HTTPS,Access Control,Web
Function App should only be accessible over HTTPS,Access Control,Web
API App should only be accessible over HTTPS,Access Control,Web
Kubernetes clusters should be accessible only over HTTPS,Access Control,Web
Azure SQL Database should have the minimal TLS version of 1.2,Access Control,Web
Azure Active Directory Domain Services managed domains should use TLS 1.2 only mode,Access Control,Web
App Service Environment should be configured with strongest TLS Cipher suites,Access Control,Web
Latest TLS version should be used in your API App,Access Control,Web
SQL Managed Instance should have the minimal TLS version of 1.2,Access Control,Web
App Service Environment should disable TLS 1.0 and 1.1,Access Control,Web
Latest TLS version should be used in your Web App,Access Control,Web
Latest TLS version should be used in your Function App,Access Control,Web
Cognitive Services accounts should restrict network access,Network Access Controls,Networking
Cognitive Services accounts should disable public network access,Network Access Controls,Networking
Configure Data Factories to disable public network access,Network Access Controls,Networking
Modify - Configure Azure File Sync to disable public network access,Network Access Controls,Networking
Public network access should be disabled for Container registries,Network Access Controls,Networking
Modify - Configure Azure IoT Hubs to disable public network access,Network Access Controls,Networking
Azure Key Vault Managed HSM should disable public network access,Network Access Controls,Networking
Azure Event Grid topics should disable public network access,Network Access Controls,Networking
Public network access on Azure SQL Database should be disabled,Network Access Controls,Networking
Public network access on Azure Data Factory should be disabled,Network Access Controls,Networking
Public network access should be disabled for Azure File Sync,Network Access Controls,Networking
Azure SignalR Service should disable public network access,Network Access Controls,Networking
Configure Azure Automation accounts to disable public network access,Network Access Controls,Networking
Configure Azure SQL Server to disable public network access,Network Access Controls,Networking
torage accounts should restrict network access using virtual network rules,Network Access Controls,Networking
Public network access on Azure IoT Hub should be disabled,Network Access Controls,Networking
Configure Azure Cache for Redis to disable public network access,Network Access Controls,Networking
Adaptive network hardening recommendations should be applied on internet facing virtual machines,Network Access Controls,Networking
All Internet traffic should be routed via your deployed Azure Firewall,Network Access Controls,Networking
All network ports should be restricted on network security groups associated to your virtual machine,Network Access Controls,Networking
Azure Cosmos DB accounts should have firewall rules,Network Access Controls,Networking
Management ports should be closed on your virtual machines,Network Access Controls,Networking
Management ports of virtual machines should be protected with just-in-time network access control,Network Access Controls,Networking
Non-internet-facing virtual machines should be protected with network security groups,Network Access Controls,Networking
Authorized IP ranges should be defined on Kubernetes Services,IP Blacklisting,Networking
IP Forwarding on your virtual machine should be disabled,IP Blacklisting,Networking
Subnets should be associated with a Network Security Group,Network Segmentation,Networking
All Internet traffic should be routed via your deployed Azure Firewall,Network Segmentation,Networking
Non-internet-facing virtual machines should be protected with network security groups,Network Segmentation,Networking
Internet-facing virtual machines should be protected with network security groups,Network Segmentation,Networking
Network Watcher flow logs should have traffic analytics enabled,Network Segmentation,Networking
Flow logs should be enabled for every network security group,Network Segmentation,Networking
Adaptive network hardening recommendations should be applied on internet facing virtual machines,Microsegmentation,Networking
All network ports should be restricted on network security groups associated to your virtual machine,Microsegmentation,Networking
API Management services should use a virtual network,Microsegmentation,Networking
Allowlist rules in your adaptive application control policy should be updated,Microsegmentation,Networking
Azure DDoS Protection Standard should be enabled,DDoS Protections,Resiliency
Virtual networks should be protected by Azure DDoS Protection Standard,DDoS Protections,Resiliency
Public IP addresses should have resource logs enabled for Azure DDoS Protection Standard,DDoS Protections,Resiliency
The Log Analytics extension should be installed on Virtual Machine Scale Sets,Elastic Expansion,Resiliency
Require automatic OS image patching on Virtual Machine Scale Sets,Elastic Expansion,Resiliency
Resource logs in Virtual Machine Scale Sets should be enabled,Elastic Expansion,Resiliency
Azure Backup should be enabled for Virtual Machines,Regional Delivery,Resiliency
Geo-redundant backup should be enabled for Azure Database for MariaDB,Regional Delivery,Resiliency
Geo-redundant backup should be enabled for Azure Database for MySQL,Regional Delivery,Resiliency
Geo-redundant backup should be enabled for Azure Database for PostgreSQL,Regional Delivery,Resiliency
Azure Defender for DNS should be enabled,DNS,DNS
Configure Azure File Sync to use private DNS zones,DNS,DNS
Configure Azure Web PubSub Service to use private DNS zones,DNS,DNS
Configure Azure Synapse workspaces to use private DNS zones,DNS,DNS
Configure Azure Defender for DNS to be enabled,DNS,DNS
Configure Azure Monitor Private Link Scope to use private DNS zones,DNS,DNS
Deploy - Configure private DNS zones for private endpoints that connect to Batch accounts,DNS,DNS
Configure BotService resources to use private DNS zones,DNS,DNS
Configure Azure Automation accounts with private DNS zones,DNS,DNS
Configure Azure Migrate resources to use private DNS zones,DNS,DNS
Configure private DNS zones for private endpoints connected to App Configuration,DNS,DNS
Configure private DNS zones for private endpoints that connect to Azure Data Factory,DNS,DNS
Configure CosmosDB accounts to use private DNS zones,DNS,DNS
Configure IoT Hub device provisioning instances to use private DNS zones,DNS,DNS
Deploy - Configure private DNS zones for private endpoints connect to Azure SignalR Service,DNS,DNS
Configure App Services to use private DNS zones,DNS,DNS
Configure Azure Media Services to use private DNS zones,DNS,DNS
Deploy - Configure Azure Event Grid topics to use private DNS zones,DNS,DNS
Configure disk access resources to use private DNS zones,DNS,DNS
Configure Cognitive Services accounts to use private DNS zones,DNS,DNS
Deploy - Configure Azure IoT Hubs to use private DNS zones,DNS,DNS
Deploy - Configure Azure Event Grid domains to use private DNS zones,DNS,DNS
Configure Azure Cache for Redis to use private DNS zones,DNS,DNS
Configure Container registries to use private DNS zones,DNS,DNS
Configure Event Hub namespaces to use private DNS zones,DNS,DNS
Configure Azure Machine Learning workspace to use private DNS zones,DNS,DNS
Configure Service Bus namespaces to use private DNS zones,DNS,DNS
Configure Azure Cognitive Search services to use private DNS zones,DNS,DNS
Endpoint protection health issues should be resolved on your machines,Endpoint Detection & Response,Intrusion Detection
Endpoint protection should be installed on your machines,Endpoint Detection & Response,Intrusion Detection
Endpoint protection solution should be installed on virtual machine scale sets,Endpoint Detection & Response,Intrusion Detection
Monitor missing Endpoint Protection in Azure Security Center,Endpoint Detection & Response,Intrusion Detection
All Internet traffic should be routed via your deployed Azure Firewall,Intrusion Protection Systems,Intrusion Detection
Adaptive application controls for defining safe applications should be enabled on your machines,Adaptive Access Control,Intrusion Detection
Allowlist rules in your adaptive application control policy should be updated,Adaptive Access Control,Intrusion Detection
Adaptive network hardening recommendations should be applied on internet facing virtual machines,Adaptive Access Control,Intrusion Detection
Management ports of virtual machines should be protected with just-in-time network access control,Adaptive Access Control,Intrusion Detection
Certificates should have the specified lifetime action triggers,Certificate Transparency Log Monitoring,Intrusion Detection
Certificates should be issued by the specified integrated certificate authority,Certificate Transparency Log Monitoring,Intrusion Detection
Certificates should be issued by the specified non-integrated certificate authority,Certificate Transparency Log Monitoring,Intrusion Detection
Certificates should have the specified maximum validity period,Certificate Transparency Log Monitoring,Intrusion Detection
Auto provisioning of the Log Analytics agent should be enabled on your subscription,Security Orchestration Automation & Response,Enterprise
Azure Defender for Resource Manager should be enabled,Security Orchestration Automation & Response,Enterprise
Automation account variables should be encrypted,Security Orchestration Automation & Response,Enterprise
Resource logs in Logic Apps should be enabled,Security Orchestration Automation & Response,Enterprise
Configure supported Windows machines to automatically install the Azure Security agent,Security Orchestration Automation & Response,Enterprise
Configure Azure Automation accounts to disable public network access,Security Orchestration Automation & Response,Enterprise
Configure supported Linux Arc machines to automatically install the Azure Security agent,Security Orchestration Automation & Response,Enterprise
Configure Azure Automation account to disable local authentication,Security Orchestration Automation & Response,Enterprise
Require automatic OS image patching on Virtual Machine Scale Sets,Security Orchestration Automation & Response,Enterprise
Deploy Workflow Automation for Azure Security Center regulatory compliance,Security Orchestration Automation & Response,Enterprise
Configure supported Linux virtual machine scale sets to automatically install the Guest Attestation extension,Security Orchestration Automation & Response,Enterprise
Deploy Diagnostic Settings for Logic Apps to Log Analytics workspace,Security Orchestration Automation & Response,Enterprise
Adaptive application controls for defining safe applications should be enabled on your machines,Shadow IT,Enterprise
VPN gateways should use only Azure Active Directory (Azure AD) authentication for point-to-site users,VPN,Enterprise
Gateway subnets should not be configured with a network security group,VPN,Enterprise
Virtual networks should use specified virtual network gateway,VPN,Enterprise
Storage account public access should be disallowed,Access Control,Data Protection
Transparent Data Encryption on SQL databases should be enabled,Access Control,Data Protection
Azure Defender for SQL should be enabled for unprotected SQL Managed Instances,Access Control,Data Protection
Azure Defender for SQL servers on machines should be enabled,Access Control,Data Protection
Transparent Data Encryption on SQL databases should be enabled,Protections for Data at Rest,Data Protection
Automation account variables should be encrypted,Protections for Data at Rest,Data Protection
Secure transfer to storage accounts should be enabled,Protections for Data in Transit,Data Protection
FTPS should be required in your function App,Protections for Data in Transit,Data Protection
Function App should only be accessible over HTTPS,Protections for Data in Transit,Data Protection
Web Application should only be accessible over HTTPS,Protections for Data in Transit,Data Protection
FTPS should be required in your web App,Protections for Data in Transit,Data Protection
Azure Defender for SQL should be enabled for unprotected SQL Managed Instances,Data Loss Prevention,Data Protection
Azure Defender for SQL servers on machines should be enabled,Data Loss Prevention,Data Protection
Azure Defender for Azure SQL Database servers should be enabled,Data Loss Prevention,Data Protection
Azure Defender for Storage should be enabled,Data Loss Prevention,Data Protection
Sensitive data in your SQL databases should be classified,Data Access and Use Telemetry,Data Protection
Adaptive network hardening recommendations should be applied on internet facing virtual machines,Unified Communications & Collaboration,UCC Data Loss Prevention
Windows web servers should be configured to use secure communication protocols,Unified Communications & Collaboration,UCC Data Loss Prevention
Deploy Workflow Automation for Azure Security Center recommendations,Unified Communications & Collaboration,UCC Data Loss Prevention
Azure HDInsight clusters should use encryption in transit to encrypt communication between Azure HDInsight cluster nodes,Unified Communications & Collaboration,UCC Data Loss Prevention
